bt.A.x START 1
[7l-dsk/total- ---paging-- ---load-avg--- ------memory-usage----- ---procs--- --io/total- ----swap--- ----system----
 read  writ|  in   out | 1m   5m  15m | used  buff  cach  free|run blk new| read  writ| used  free|     time     
   0     0 |   0     0 |0.64 0.80 0.61| 851M 61.6M  144M 62.0G|1.0   0   0|   0     0 |  16M  984M|23-03 05:10:03
   0     0 |   0     0 |0.64 0.80 0.61| 850M 61.6M  144M 62.0G|2.0   0   0|   0     0 |  16M  984M|23-03 05:10:04
   0     0 |   0     0 |0.66 0.80 0.61| 850M 61.6M  144M 62.0G|1.0   0   0|   0     0 |  16M  984M|23-03 05:10:05
   0     0 |   0     0 |0.66 0.80 0.61| 850M 61.6M  144M 62.0G|1.0   0   0|   0     0 |  16M  984M|23-03 05:10:06
   0     0 |   0     0 |0.66 0.80 0.61| 850M 61.6M  144M 62.0G|2.0   0   0|   0     0 |  16M  984M|23-03 05:10:07
   0     0 |   0     0 |0.66 0.80 0.61| 850M 61.6M  144M 62.0G|1.0   0   0|   0     0 |  16M  984M|23-03 05:10:08
   0     0 |   0     0 |0.66 0.80 0.61| 850M 61.6M  144M 62.0G|1.0   0 1.0|   0     0 |  16M  984M|23-03 05:10:09
   0     0 |   0     0 |0.69 0.81 0.61| 850M 61.6M  144M 62.0G|3.0   0   0|   0     0 |  16M  984M|23-03 05:10:10
   0     0 |   0     0 |0.69 0.81 0.61| 850M 61.6M  144M 62.0G|1.0   0   0|   0     0 |  16M  984M|23-03 05:10:11
   0     0 |   0     0 |0.69 0.81 0.61| 850M 61.6M  144M 62.0G|1.0   0   0|   0     0 |  16M  984M|23-03 05:10:12
   0     0 |   0     0 |0.69 0.81 0.61| 850M 61.6M  144M 62.0G|1.0   0 1.0|   0     0 |  16M  984M|23-03 05:10:13
   0     0 |   0     0 |0.69 0.81 0.61| 850M 61.6M  144M 62.0G|1.0   0   0|   0     0 |  16M  984M|23-03 05:10:14
   0     0 |   0     0 |0.72 0.81 0.61| 850M 61.6M  144M 62.0G|2.0   0   0|   0     0 |  16M  984M|23-03 05:10:15
   0     0 |   0     0 |0.72 0.81 0.61| 850M 61.6M  144M 62.0G|1.0   0   0|   0     0 |  16M  984M|23-03 05:10:16
bt.A.x END 1
bt.B.x START 1
   0     0 |   0     0 |0.72 0.81 0.61| 981M 61.6M  144M 61.9G|1.0   0 1.0|   0     0 |  16M  984M|23-03 05:10:17
   0     0 |   0     0 |0.72 0.81 0.61| 980M 61.6M  144M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:10:18
   0     0 |   0     0 |0.72 0.81 0.61| 980M 61.6M  144M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:10:19
   0     0 |   0     0 |0.74 0.81 0.61| 980M 61.6M  144M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:10:20
   0     0 |   0     0 |0.74 0.81 0.61| 980M 61.6M  144M 61.9G|2.0   0   0|   0     0 |  16M  984M|23-03 05:10:21
   0     0 |   0     0 |0.74 0.81 0.61| 980M 61.6M  144M 61.9G|1.0   0 1.0|   0     0 |  16M  984M|23-03 05:10:22
   0     0 |   0     0 |0.74 0.81 0.61| 980M 61.6M  144M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:10:23
   0     0 |   0     0 |0.74 0.81 0.61| 980M 61.6M  144M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:10:24
   0     0 |   0     0 |0.76 0.82 0.62| 980M 61.6M  144M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:10:25
   0    28k|   0     0 |0.76 0.82 0.62| 980M 61.6M  144M 61.9G|1.0   0   0|   0  7.00 |  16M  984M|23-03 05:10:26
   0     0 |   0     0 |0.76 0.82 0.62| 980M 61.6M  144M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:10:27
   0     0 |   0     0 |0.76 0.82 0.62| 980M 61.6M  144M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:10:28
   0     0 |   0     0 |0.76 0.82 0.62| 980M 61.6M  144M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:10:29
   0     0 |   0     0 |0.78 0.82 0.62| 980M 61.6M  144M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:10:30
   0  4096B|   0     0 |0.78 0.82 0.62| 980M 61.6M  144M 61.9G|1.0   0   0|   0  1.00 |  16M  984M|23-03 05:10:31
   0     0 |   0     0 |0.78 0.82 0.62| 980M 61.6M  144M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:10:32
   0     0 |   0     0 |0.78 0.82 0.62| 980M 61.6M  144M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:10:33
   0     0 |   0     0 |0.78 0.82 0.62| 980M 61.6M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:10:34
   0     0 |   0     0 |0.80 0.82 0.62| 980M 61.6M  145M 61.9G|1.0   0 1.0|   0     0 |  16M  984M|23-03 05:10:35
   0     0 |   0     0 |0.80 0.82 0.62| 980M 61.6M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:10:36
   0    28k|   0     0 |0.80 0.82 0.62| 980M 61.6M  144M 61.9G|1.0   0   0|   0  7.00 |  16M  984M|23-03 05:10:37
   0     0 |   0     0 |0.80 0.82 0.62| 980M 61.6M  145M 61.9G|3.0   0   0|   0     0 |  16M  984M|23-03 05:10:38
   0     0 |   0     0 |0.80 0.82 0.62| 980M 61.6M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:10:39
   0     0 |   0     0 |0.81 0.82 0.62| 980M 61.6M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:10:40
   0     0 |   0     0 |0.81 0.82 0.62| 980M 61.6M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:10:41
   0     0 |   0     0 |0.81 0.82 0.62| 980M 61.6M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:10:42
   0     0 |   0     0 |0.81 0.82 0.62| 980M 61.6M  145M 61.9G|1.0   0 1.0|   0     0 |  16M  984M|23-03 05:10:43
   0     0 |   0     0 |0.81 0.82 0.62| 980M 61.6M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:10:44
   0     0 |   0     0 |0.83 0.83 0.62| 980M 61.6M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:10:45
   0     0 |   0     0 |0.83 0.83 0.62| 980M 61.6M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:10:46
   0     0 |   0     0 |0.83 0.83 0.62| 980M 61.6M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:10:47
   0     0 |   0     0 |0.83 0.83 0.62| 980M 61.6M  145M 61.9G|2.0   0   0|   0     0 |  16M  984M|23-03 05:10:48
   0     0 |   0     0 |0.83 0.83 0.62| 980M 61.6M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:10:49
   0     0 |   0     0 |0.84 0.83 0.63| 980M 61.6M  145M 61.9G|2.0   0   0|   0     0 |  16M  984M|23-03 05:10:50
   0     0 |   0     0 |0.84 0.83 0.63| 980M 61.6M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:10:51
   0     0 |   0     0 |0.84 0.83 0.63| 980M 61.6M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:10:52
   0     0 |   0     0 |0.84 0.83 0.63| 980M 61.6M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:10:53
   0     0 |   0     0 |0.84 0.83 0.63| 980M 61.6M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:10:54
   0    12k|   0     0 |0.85 0.83 0.63| 980M 61.7M  145M 61.9G|3.0   0   0|   0  3.00 |  16M  984M|23-03 05:10:55
   0     0 |   0     0 |0.85 0.83 0.63| 980M 61.7M  145M 61.9G|3.0   0   0|   0     0 |  16M  984M|23-03 05:10:56
   0     0 |   0     0 |0.85 0.83 0.63| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:10:57
   0     0 |   0     0 |0.85 0.83 0.63| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:10:58
   0     0 |   0     0 |0.85 0.83 0.63| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:10:59
   0     0 |   0     0 |0.86 0.83 0.63| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:00
   0     0 |   0     0 |0.86 0.83 0.63| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:01
   0     0 |   0     0 |0.86 0.83 0.63| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:02
   0     0 |   0     0 |0.86 0.83 0.63| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:03
   0     0 |   0     0 |0.86 0.83 0.63| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:04
   0     0 |   0     0 |0.87 0.84 0.63| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:05
   0     0 |   0     0 |0.87 0.84 0.63| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:06
   0     0 |   0     0 |0.87 0.84 0.63| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:07
   0     0 |   0     0 |0.87 0.84 0.63| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:08
   0     0 |   0     0 |0.87 0.84 0.63| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:09
   0     0 |   0     0 |0.88 0.84 0.63| 980M 61.7M  145M 61.9G|2.0   0   0|   0     0 |  16M  984M|23-03 05:11:10
   0    24k|   0     0 |0.88 0.84 0.63| 980M 61.7M  145M 61.9G|1.0   0   0|   0  6.00 |  16M  984M|23-03 05:11:11
   0     0 |   0     0 |0.88 0.84 0.63| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:12
   0     0 |   0     0 |0.88 0.84 0.63| 980M 61.7M  145M 61.9G|2.0   0   0|   0     0 |  16M  984M|23-03 05:11:13
   0     0 |   0     0 |0.88 0.84 0.63| 980M 61.7M  145M 61.9G|4.0   0   0|   0     0 |  16M  984M|23-03 05:11:14
   0     0 |   0     0 |0.89 0.84 0.64| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:15
   0     0 |   0     0 |0.89 0.84 0.64| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:16
   0     0 |   0     0 |0.89 0.84 0.64| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:17
   0     0 |   0     0 |0.89 0.84 0.64| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:18
   0     0 |   0     0 |0.89 0.84 0.64| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:19
   0     0 |   0     0 |0.90 0.84 0.64| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:20
   0     0 |   0     0 |0.90 0.84 0.64| 980M 61.7M  145M 61.9G|1.0   0 1.0|   0     0 |  16M  984M|23-03 05:11:21
   0     0 |   0     0 |0.90 0.84 0.64| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:22
   0     0 |   0     0 |0.90 0.84 0.64| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:23
   0     0 |   0     0 |0.90 0.84 0.64| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:24
   0     0 |   0     0 |0.91 0.85 0.64| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:25
   0     0 |   0     0 |0.91 0.85 0.64| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:26
   0     0 |   0     0 |0.91 0.85 0.64| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:27
   0     0 |   0     0 |0.91 0.85 0.64| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:28
   0     0 |   0     0 |0.91 0.85 0.64| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:29
   0     0 |   0     0 |0.92 0.85 0.64| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:30
   0     0 |   0     0 |0.92 0.85 0.64| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:31
   0     0 |   0     0 |0.92 0.85 0.64| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:32
   0     0 |   0     0 |0.92 0.85 0.64| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:33
   0     0 |   0     0 |0.92 0.85 0.64| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:34
   0     0 |   0     0 |0.92 0.85 0.64| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:35
   0     0 |   0     0 |0.92 0.85 0.64| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:36
   0     0 |   0     0 |0.92 0.85 0.64| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:37
   0    12k|   0     0 |0.92 0.85 0.64| 980M 61.7M  145M 61.9G|1.0   0   0|   0  3.00 |  16M  984M|23-03 05:11:38
   0     0 |   0     0 |0.92 0.85 0.64| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:39
   0     0 |   0     0 |0.93 0.85 0.64| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:40
   0     0 |   0     0 |0.93 0.85 0.64| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:41
   0     0 |   0     0 |0.93 0.85 0.64| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:42
   0     0 |   0     0 |0.93 0.85 0.64| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:43
   0     0 |   0     0 |0.93 0.85 0.64| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:44
   0     0 |   0     0 |0.93 0.86 0.64| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:45
   0     0 |   0     0 |0.93 0.86 0.64| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:46
   0     0 |   0     0 |0.93 0.86 0.64| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:47
   0     0 |   0     0 |0.93 0.86 0.64| 980M 61.7M  145M 61.9G|3.0   0   0|   0     0 |  16M  984M|23-03 05:11:48
   0     0 |   0     0 |0.93 0.86 0.64| 980M 61.7M  145M 61.9G|2.0   0   0|   0     0 |  16M  984M|23-03 05:11:49
   0     0 |   0     0 |0.94 0.86 0.65| 980M 61.7M  145M 61.9G|3.0   0   0|   0     0 |  16M  984M|23-03 05:11:50
   0     0 |   0     0 |0.94 0.86 0.65| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:51
   0     0 |   0     0 |0.94 0.86 0.65| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:52
   0     0 |   0     0 |0.94 0.86 0.65| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:53
   0     0 |   0     0 |0.94 0.86 0.65| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:54
   0     0 |   0     0 |0.94 0.86 0.65| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:55
   0     0 |   0     0 |0.94 0.86 0.65| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:56
   0     0 |   0     0 |0.94 0.86 0.65| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:57
   0     0 |   0     0 |0.94 0.86 0.65| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:58
   0     0 |   0     0 |0.94 0.86 0.65| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:11:59
   0     0 |   0     0 |0.95 0.86 0.65| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:12:00
   0     0 |   0     0 |0.95 0.86 0.65| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:12:01
   0     0 |   0     0 |0.95 0.86 0.65| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:12:02
   0     0 |   0     0 |0.95 0.86 0.65| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:12:03
   0     0 |   0     0 |0.95 0.86 0.65| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:12:04
   0     0 |   0     0 |0.95 0.86 0.65| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:12:05
   0     0 |   0     0 |0.95 0.86 0.65| 980M 61.7M  145M 61.9G|3.0   0   0|   0     0 |  16M  984M|23-03 05:12:06
   0     0 |   0     0 |0.95 0.86 0.65| 980M 61.7M  145M 61.9G|2.0   0   0|   0     0 |  16M  984M|23-03 05:12:07
   0     0 |   0     0 |0.95 0.86 0.65| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:12:08
   0     0 |   0     0 |0.95 0.86 0.65| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:12:09
   0     0 |   0     0 |0.96 0.87 0.65| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:12:10
   0  4096B|   0     0 |0.96 0.87 0.65| 980M 61.7M  145M 61.9G|1.0   0   0|   0  1.00 |  16M  984M|23-03 05:12:11
   0     0 |   0     0 |0.96 0.87 0.65| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:12:12
   0     0 |   0     0 |0.96 0.87 0.65| 980M 61.7M  145M 61.9G|1.0   0 1.0|   0     0 |  16M  984M|23-03 05:12:13
   0     0 |   0     0 |0.96 0.87 0.65| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:12:14
   0     0 |   0     0 |0.96 0.87 0.65| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:12:15
   0     0 |   0     0 |0.96 0.87 0.65| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:12:16
   0     0 |   0     0 |0.96 0.87 0.65| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:12:17
   0     0 |   0     0 |0.96 0.87 0.65| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:12:18
   0     0 |   0     0 |0.96 0.87 0.65| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:12:19
   0     0 |   0     0 |0.96 0.87 0.65| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:12:20
   0     0 |   0     0 |0.96 0.87 0.65| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:12:21
   0     0 |   0     0 |0.96 0.87 0.65| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:12:22
   0     0 |   0     0 |0.96 0.87 0.65| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:12:23
   0     0 |   0     0 |0.96 0.87 0.65| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:12:24
   0     0 |   0     0 |0.96 0.87 0.66| 980M 61.7M  145M 61.9G|2.0   0   0|   0     0 |  16M  984M|23-03 05:12:25
   0     0 |   0     0 |0.96 0.87 0.66| 980M 61.7M  145M 61.9G|2.0   0   0|   0     0 |  16M  984M|23-03 05:12:26
   0     0 |   0     0 |0.96 0.87 0.66| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:12:27
   0     0 |   0     0 |0.96 0.87 0.66| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:12:28
   0     0 |   0     0 |0.96 0.87 0.66| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:12:29
   0     0 |   0     0 |0.97 0.87 0.66| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:12:30
   0     0 |   0     0 |0.97 0.87 0.66| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:12:31
   0     0 |   0     0 |0.97 0.87 0.66| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:12:32
   0     0 |   0     0 |0.97 0.87 0.66| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:12:33
   0     0 |   0     0 |0.97 0.87 0.66| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:12:34
   0     0 |   0     0 |0.97 0.88 0.66| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:12:35
   0     0 |   0     0 |0.97 0.88 0.66| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:12:36
   0     0 |   0     0 |0.97 0.88 0.66| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:12:37
   0    12k|   0     0 |0.97 0.88 0.66| 980M 61.7M  145M 61.9G|1.0   0   0|   0  3.00 |  16M  984M|23-03 05:12:38
   0     0 |   0     0 |0.97 0.88 0.66| 980M 61.7M  145M 61.9G|1.0   0   0|   0     0 |  16M  984M|23-03 05:12:39
