bt.A.x START
Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-20.local) 	03/22/2015 	_x86_64_	(32 CPU)

06:43:14 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
06:43:24 PM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:24 PM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:24 PM   26  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
06:43:24 PM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:24 PM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:24 PM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:24 PM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:24 PM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

06:43:24 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
06:43:26 PM  all    3.14    0.00    0.03    0.00    0.00    0.00    0.00    0.00   96.82
06:43:26 PM    0    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
06:43:26 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:26 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:26 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:26 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:26 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:26 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:26 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:26 PM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:26 PM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:26 PM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:26 PM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:26 PM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:26 PM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:26 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:26 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:26 PM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:26 PM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:26 PM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:26 PM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:26 PM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:26 PM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:26 PM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:26 PM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:26 PM   24    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00   99.50
06:43:26 PM   25    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50
06:43:26 PM   26  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
06:43:26 PM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:26 PM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:26 PM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:26 PM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:26 PM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

06:43:26 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
06:43:28 PM  all    3.13    0.00    0.06    0.00    0.00    0.00    0.00    0.00   96.81
06:43:28 PM    0    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
06:43:28 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:28 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:28 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:28 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:28 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:28 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:28 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:28 PM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:28 PM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:28 PM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:28 PM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:28 PM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:28 PM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:28 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:28 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:28 PM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:28 PM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:28 PM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:28 PM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:28 PM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:28 PM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:28 PM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:28 PM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:28 PM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:28 PM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:28 PM   26  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
06:43:28 PM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:28 PM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:28 PM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:28 PM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:28 PM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

06:43:28 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
06:43:30 PM  all    3.16    0.00    0.05    0.00    0.00    0.00    0.00    0.00   96.79
06:43:30 PM    0    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
06:43:30 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:30 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:30 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:30 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:30 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:30 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:30 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:30 PM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:30 PM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:30 PM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:30 PM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:30 PM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:30 PM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:30 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:30 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:30 PM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:30 PM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:30 PM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:30 PM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:30 PM   20    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00   99.00
06:43:30 PM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:30 PM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:30 PM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:30 PM   24    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00   99.00
06:43:30 PM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:30 PM   26  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
06:43:30 PM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:30 PM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:30 PM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:30 PM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:30 PM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

06:43:30 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
06:43:32 PM  all    3.13    0.00    0.05    0.00    0.00    0.00    0.00    0.00   96.82
06:43:32 PM    0    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
06:43:32 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:32 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:32 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:32 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:32 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:32 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:32 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:32 PM    8    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00   99.50
06:43:32 PM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:32 PM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:32 PM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:32 PM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:32 PM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
