bt.A.x START
[7l-dsk/total- ---paging-- ---load-avg--- ------memory-usage----- ---procs--- --io/total- ----swap--- ----system----
 read  writ|  in   out | 1m   5m  15m | used  buff  cach  free|run blk new| read  writ| used  free|     time     
   0     0 |   0     0 |0.46 0.41 0.25| 814M 12.0M 36.3M 62.2G|1.0   0   0|   0     0 |  16M  984M|22-03 18:43:50
   0     0 |   0     0 |0.46 0.41 0.25| 814M 12.0M 36.3M 62.2G|1.0   0   0|   0     0 |  16M  984M|22-03 18:43:51
   0     0 |   0     0 |0.46 0.41 0.25| 814M 12.0M 36.3M 62.2G|1.0   0   0|   0     0 |  16M  984M|22-03 18:43:52
   0     0 |   0     0 |0.51 0.42 0.26| 814M 12.0M 36.3M 62.2G|1.0   0 1.0|   0     0 |  16M  984M|22-03 18:43:53
   0     0 |   0     0 |0.51 0.42 0.26| 814M 12.0M 36.3M 62.2G|1.0   0 1.0|   0     0 |  16M  984M|22-03 18:43:54
   0     0 |   0     0 |0.51 0.42 0.26| 814M 12.0M 36.3M 62.2G|1.0   0   0|   0     0 |  16M  984M|22-03 18:43:55
   0     0 |   0     0 |0.51 0.42 0.26| 814M 12.0M 36.3M 62.2G|1.0   0   0|   0     0 |  16M  984M|22-03 18:43:56
   0     0 |   0     0 |0.51 0.42 0.26| 814M 12.0M 36.3M 62.2G|1.0   0   0|   0     0 |  16M  984M|22-03 18:43:57
   0     0 |   0     0 |0.55 0.43 0.26| 814M 12.0M 36.3M 62.2G|1.0   0   0|   0     0 |  16M  984M|22-03 18:43:58
   0     0 |   0     0 |0.55 0.43 0.26| 814M 12.0M 36.3M 62.2G|1.0   0   0|   0     0 |  16M  984M|22-03 18:43:59
   0     0 |   0     0 |0.55 0.43 0.26| 814M 12.0M 36.3M 62.2G|1.0   0 1.0|   0     0 |  16M  984M|22-03 18:44:00
   0     0 |   0     0 |0.55 0.43 0.26| 814M 12.0M 36.3M 62.2G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:01
   0     0 |   0     0 |0.55 0.43 0.26| 814M 12.0M 36.3M 62.2G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:02
   0    12k|   0     0 |0.58 0.44 0.27| 814M 12.0M 36.3M 62.2G|1.0   0   0|   0  3.00 |  16M  984M|22-03 18:44:03
   0     0 |   0     0 |0.58 0.44 0.27| 814M 12.0M 36.3M 62.2G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:04
   0     0 |   0     0 |0.58 0.44 0.27| 814M 12.0M 36.3M 62.2G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:05
   0     0 |   0     0 |0.58 0.44 0.27| 814M 12.0M 36.3M 62.2G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:06
   0     0 |   0     0 |0.58 0.44 0.27| 814M 12.0M 36.3M 62.2G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:07
   0     0 |   0     0 |0.61 0.45 0.27| 814M 12.0M 36.3M 62.2G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:08
   0     0 |   0     0 |0.61 0.45 0.27| 814M 12.0M 36.3M 62.2G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:09
   0     0 |   0     0 |0.61 0.45 0.27| 814M 12.0M 36.3M 62.2G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:10
   0    20k|   0     0 |0.61 0.45 0.27| 814M 12.0M 36.3M 62.2G|1.0   0   0|   0  5.00 |  16M  984M|22-03 18:44:11
   0     0 |   0     0 |0.61 0.45 0.27| 814M 12.0M 36.3M 62.2G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:12
   0     0 |   0     0 |0.65 0.46 0.27| 814M 12.0M 36.3M 62.2G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:13
   0     0 |   0     0 |0.65 0.46 0.27| 814M 12.0M 36.3M 62.2G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:14
   0     0 |   0     0 |0.65 0.46 0.27| 814M 12.0M 36.3M 62.2G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:15
bt.A.x END
bt.B.x START
   0     0 |   0     0 |0.65 0.46 0.27| 854M 12.0M 36.3M 62.1G|1.0   0 1.0|   0     0 |  16M  984M|22-03 18:44:16
   0     0 |   0     0 |0.65 0.46 0.27| 944M 12.0M 36.3M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:17
   0     0 |   0     0 |0.67 0.47 0.28| 944M 12.0M 36.3M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:18
   0     0 |   0     0 |0.67 0.47 0.28| 945M 12.0M 36.3M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:19
   0     0 |   0     0 |0.67 0.47 0.28| 944M 12.0M 36.3M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:20
   0     0 |   0     0 |0.67 0.47 0.28| 944M 12.0M 36.3M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:21
   0     0 |   0     0 |0.67 0.47 0.28| 944M 12.0M 36.3M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:22
   0     0 |   0     0 |0.70 0.48 0.28| 944M 12.0M 36.3M 62.0G|2.0   0   0|   0     0 |  16M  984M|22-03 18:44:23
   0     0 |   0     0 |0.70 0.48 0.28| 944M 12.0M 36.3M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:24
   0     0 |   0     0 |0.70 0.48 0.28| 944M 12.0M 36.3M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:25
   0     0 |   0     0 |0.70 0.48 0.28| 944M 12.0M 36.3M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:26
   0     0 |   0     0 |0.70 0.48 0.28| 944M 12.0M 36.3M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:27
   0     0 |   0     0 |0.72 0.48 0.28| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:28
   0     0 |   0     0 |0.72 0.48 0.28| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:29
   0     0 |   0     0 |0.72 0.48 0.28| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:30
   0     0 |   0     0 |0.72 0.48 0.28| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:31
   0     0 |   0     0 |0.72 0.48 0.28| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:32
   0     0 |   0     0 |0.75 0.49 0.29| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:33
   0     0 |   0     0 |0.75 0.49 0.29| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:34
   0     0 |   0     0 |0.75 0.49 0.29| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:35
   0     0 |   0     0 |0.75 0.49 0.29| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:36
   0     0 |   0     0 |0.75 0.49 0.29| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:37
   0     0 |   0     0 |0.77 0.50 0.29| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:38
   0     0 |   0     0 |0.77 0.50 0.29| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:39
   0     0 |   0     0 |0.77 0.50 0.29| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:40
   0     0 |   0     0 |0.77 0.50 0.29| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:41
   0     0 |   0     0 |0.77 0.50 0.29| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:42
   0     0 |   0     0 |0.78 0.51 0.29| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:43
   0     0 |   0     0 |0.78 0.51 0.29| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:44
   0     0 |   0     0 |0.78 0.51 0.29| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:45
   0     0 |   0     0 |0.78 0.51 0.29| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:46
   0     0 |   0     0 |0.78 0.51 0.29| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:47
   0     0 |   0     0 |0.80 0.52 0.30| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:48
   0     0 |   0     0 |0.80 0.52 0.30| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:49
   0     0 |   0     0 |0.80 0.52 0.30| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:50
   0     0 |   0     0 |0.80 0.52 0.30| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:51
   0     0 |   0     0 |0.80 0.52 0.30| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:52
   0     0 |   0     0 |0.82 0.52 0.30| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:53
   0     0 |   0     0 |0.82 0.52 0.30| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:54
   0     0 |   0     0 |0.82 0.52 0.30| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:55
   0     0 |   0     0 |0.82 0.52 0.30| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:56
   0     0 |   0     0 |0.82 0.52 0.30| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:57
   0     0 |   0     0 |0.83 0.53 0.30| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:58
   0     0 |   0     0 |0.83 0.53 0.30| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:44:59
   0     0 |   0     0 |0.83 0.53 0.30| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:00
   0     0 |   0     0 |0.83 0.53 0.30| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:01
   0     0 |   0     0 |0.83 0.53 0.30| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:02
   0    12k|   0     0 |0.84 0.54 0.31| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0  3.00 |  16M  984M|22-03 18:45:03
   0     0 |   0     0 |0.84 0.54 0.31| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:04
   0     0 |   0     0 |0.84 0.54 0.31| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:05
   0     0 |   0     0 |0.84 0.54 0.31| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:06
   0     0 |   0     0 |0.84 0.54 0.31| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:07
   0     0 |   0     0 |0.86 0.55 0.31| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:08
   0     0 |   0     0 |0.86 0.55 0.31| 944M 12.0M 36.4M 62.0G|1.0   0 1.0|   0     0 |  16M  984M|22-03 18:45:09
   0     0 |   0     0 |0.86 0.55 0.31| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:10
   0     0 |   0     0 |0.86 0.55 0.31| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:11
   0     0 |   0     0 |0.86 0.55 0.31| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:12
   0     0 |   0     0 |0.87 0.55 0.31| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:13
   0     0 |   0     0 |0.87 0.55 0.31| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:14
   0     0 |   0     0 |0.87 0.55 0.31| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:15
   0     0 |   0     0 |0.87 0.55 0.31| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:16
   0     0 |   0     0 |0.87 0.55 0.31| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:17
   0     0 |   0     0 |0.88 0.56 0.32| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:18
   0     0 |   0     0 |0.88 0.56 0.32| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:19
   0     0 |   0     0 |0.88 0.56 0.32| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:20
   0     0 |   0     0 |0.88 0.56 0.32| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:21
   0     0 |   0     0 |0.88 0.56 0.32| 944M 12.0M 36.4M 62.0G|1.0   0 1.0|   0     0 |  16M  984M|22-03 18:45:22
   0     0 |   0     0 |0.89 0.57 0.32| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:23
   0     0 |   0     0 |0.89 0.57 0.32| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:24
   0     0 |   0     0 |0.89 0.57 0.32| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:25
   0     0 |   0     0 |0.89 0.57 0.32| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:26
   0     0 |   0     0 |0.89 0.57 0.32| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:27
   0     0 |   0     0 |0.90 0.58 0.32| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:28
   0     0 |   0     0 |0.90 0.58 0.32| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:29
   0     0 |   0     0 |0.90 0.58 0.32| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:30
   0     0 |   0     0 |0.90 0.58 0.32| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:31
   0     0 |   0     0 |0.90 0.58 0.32| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:32
   0     0 |   0     0 |0.90 0.58 0.33| 944M 12.0M 36.4M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:33
   0     0 |   0     0 |0.90 0.58 0.33| 944M 12.0M 36.5M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:34
   0     0 |   0     0 |0.90 0.58 0.33| 944M 12.0M 36.5M 62.0G|1.0   0 1.0|   0     0 |  16M  984M|22-03 18:45:35
   0  4096B|   0     0 |0.90 0.58 0.33| 944M 12.0M 36.5M 62.0G|1.0   0   0|   0  1.00 |  16M  984M|22-03 18:45:36
   0     0 |   0     0 |0.90 0.58 0.33| 944M 12.0M 36.5M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:37
   0     0 |   0     0 |0.91 0.59 0.33| 944M 12.0M 36.5M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:38
   0     0 |   0     0 |0.91 0.59 0.33| 944M 12.0M 36.5M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:39
   0     0 |   0     0 |0.91 0.59 0.33| 944M 12.0M 36.5M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:40
   0     0 |   0     0 |0.91 0.59 0.33| 944M 12.0M 36.5M 62.0G|1.0   0   0|   0     0 |  16M  984M|22-03 18:45:41
